,eos,rho_c,M,M_0,R,Omega,Omega_p,T/W,J,I,Phi_2,h_plus,h_minus,Z_p,Z_b,Z_f,omega_c/Omega,r_e,r_ratio,Omega_pa,Omega+,u_phi,TW,omega_c_over_Omega,Omega_plus
0,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1588220000000000.0,2.43369,2.92889,12.7745,0.0,1.24416,,0.0,0.0,0.0,8.76912,8.76912,0.51121,0.51121,0.51121,,0.240305,1.0,1.08332,,8.4305,0.0,0.0,1.14483
1,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1578220000000000.0,2.43368,2.92888,12.7776,0.0,1.24371,,0.0,0.0,0.0,8.76591,8.76591,0.51097,0.51097,0.51097,,0.240394,1.0,1.0831,,8.43047,0.0,0.0,1.1444
2,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1568220000000000.0,2.43365,2.92884,12.7808,0.0,1.24324,,0.0,0.0,0.0,8.76253,8.76253,0.510722,0.510722,0.510722,,0.240485,1.0,1.08287,,8.43037,0.0,0.0,1.14397
3,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1558220000000000.0,2.4336,2.92877,12.7839,0.0,1.24277,,0.0,0.0,0.0,8.75896,8.75896,0.510465,0.510465,0.510465,,0.240576,1.0,1.08264,,8.43021,0.0,0.0,1.14354
4,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1548220000000000.0,2.43354,2.92866,12.787,0.0,1.2423,,0.0,0.0,0.0,8.7552,8.7552,0.510199,0.510199,0.510199,,0.240669,1.0,1.08241,,8.42997,0.0,0.0,1.1431
5,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1538220000000000.0,2.43345,2.92853,12.7902,0.0,1.24181,,0.0,0.0,0.0,8.75125,8.75125,0.509925,0.509925,0.509925,,0.240764,1.0,1.08218,,8.42966,0.0,0.0,1.14265
6,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1528220000000000.0,2.43334,2.92837,12.7934,0.0,1.24132,,0.0,0.0,0.0,8.74711,8.74711,0.509642,0.509642,0.509642,,0.240859,1.0,1.08195,,8.42929,0.0,0.0,1.1422
7,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1518220000000000.0,2.43321,2.92817,12.7966,0.0,1.24083,,0.0,0.0,0.0,8.74275,8.74275,0.50935,0.50935,0.50935,,0.240957,1.0,1.08172,,8.42883,0.0,0.0,1.14174
8,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1508220000000000.0,2.43305,2.92794,12.7998,0.0,1.24032,,0.0,0.0,0.0,8.7382,8.7382,0.509048,0.509048,0.509048,,0.241055,1.0,1.08149,,8.4283,0.0,0.0,1.14127
9,/home/miler/codes/Something_with_rns/EOS/106/EOS86439.rns,1498220000000000.0,2.43288,2.92768,12.803,0.0,1.23981,,0.0,0.0,0.0,8.73343,8.73343,0.508737,0.508737,0.508737,,0.241155,1.0,1.08126,,8.4277,0.0,0.0,1.14079
