,eos,rho_c,M,M_0,R,Omega,Omega_p,T/W,J,I,Phi_2,h_plus,h_minus,Z_p,Z_b,Z_f,omega_c/Omega,r_e,r_ratio,Omega_pa,Omega+,u_phi,TW,omega_c_over_Omega,Omega_plus
0,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1363640000000000.0,2.67682,3.25407,13.6024,0.0,1.18742,,0.0,0.0,0.0,10.0942,10.0942,0.544053,0.544053,0.544053,,0.251612,1.0,1.01219,,9.27257,0.0,0.0,1.09343
1,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1362640000000000.0,2.67682,3.25407,13.603,0.0,1.18734,,0.0,0.0,0.0,10.0936,10.0936,0.544005,0.544005,0.544005,,0.251629,1.0,1.01216,,9.27257,0.0,0.0,1.09335
2,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1361640000000000.0,2.67681,3.25407,13.6036,0.0,1.18726,,0.0,0.0,0.0,10.093,10.093,0.543958,0.543958,0.543958,,0.251647,1.0,1.01212,,9.27257,0.0,0.0,1.09328
3,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1360640000000000.0,2.67681,3.25407,13.6042,0.0,1.18718,,0.0,0.0,0.0,10.0923,10.0923,0.54391,0.54391,0.54391,,0.251664,1.0,1.01209,,9.27256,0.0,0.0,1.0932
4,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1359640000000000.0,2.67681,3.25406,13.6048,0.0,1.1871,,0.0,0.0,0.0,10.0917,10.0917,0.543861,0.543861,0.543861,,0.251681,1.0,1.01205,,9.27256,0.0,0.0,1.09313
5,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1358640000000000.0,2.67681,3.25406,13.6054,0.0,1.18702,,0.0,0.0,0.0,10.0911,10.0911,0.543813,0.543813,0.543813,,0.251699,1.0,1.01201,,9.27255,0.0,0.0,1.09305
6,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1357640000000000.0,2.67681,3.25406,13.606,0.0,1.18694,,0.0,0.0,0.0,10.0905,10.0905,0.543765,0.543765,0.543765,,0.251716,1.0,1.01198,,9.27255,0.0,0.0,1.09297
7,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1356640000000000.0,2.67681,3.25406,13.6066,0.0,1.18686,,0.0,0.0,0.0,10.0898,10.0898,0.543716,0.543716,0.543716,,0.251734,1.0,1.01194,,9.27254,0.0,0.0,1.0929
8,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1355640000000000.0,2.6768,3.25405,13.6072,0.0,1.18678,,0.0,0.0,0.0,10.0892,10.0892,0.543667,0.543667,0.543667,,0.251751,1.0,1.0119,,9.27253,0.0,0.0,1.09282
9,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1354640000000000.0,2.6768,3.25405,13.6078,0.0,1.1867,,0.0,0.0,0.0,10.0886,10.0886,0.543618,0.543618,0.543618,,0.251769,1.0,1.01187,,9.27252,0.0,0.0,1.09275
10,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1353640000000000.0,2.6768,3.25404,13.6084,0.0,1.18662,,0.0,0.0,0.0,10.0879,10.0879,0.543569,0.543569,0.543569,,0.251786,1.0,1.01183,,9.27251,0.0,0.0,1.09267
11,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1352640000000000.0,2.67679,3.25404,13.609,0.0,1.18654,,0.0,0.0,0.0,10.0873,10.0873,0.54352,0.54352,0.54352,,0.251804,1.0,1.0118,,9.2725,0.0,0.0,1.09259
12,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1351640000000000.0,2.67679,3.25403,13.6097,0.0,1.18646,,0.0,0.0,0.0,10.0866,10.0866,0.54347,0.54347,0.54347,,0.251822,1.0,1.01176,,9.27248,0.0,0.0,1.09252
13,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1350640000000000.0,2.67679,3.25403,13.6103,0.0,1.18638,,0.0,0.0,0.0,10.086,10.086,0.54342,0.54342,0.54342,,0.251839,1.0,1.01172,,9.27247,0.0,0.0,1.09244
14,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1349640000000000.0,2.67678,3.25402,13.6109,0.0,1.1863,,0.0,0.0,0.0,10.0853,10.0853,0.543371,0.543371,0.543371,,0.251857,1.0,1.01169,,9.27245,0.0,0.0,1.09236
15,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1348640000000000.0,2.67678,3.25401,13.6115,0.0,1.18622,,0.0,0.0,0.0,10.0847,10.0847,0.543321,0.543321,0.543321,,0.251875,1.0,1.01165,,9.27243,0.0,0.0,1.09229
16,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1347640000000000.0,2.67677,3.254,13.6121,0.0,1.18614,,0.0,0.0,0.0,10.084,10.084,0.543271,0.543271,0.543271,,0.251893,1.0,1.01161,,9.27242,0.0,0.0,1.09221
17,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1346640000000000.0,2.67676,3.25399,13.6127,0.0,1.18606,,0.0,0.0,0.0,10.0833,10.0833,0.54322,0.54322,0.54322,,0.25191,1.0,1.01158,,9.2724,0.0,0.0,1.09213
18,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1345640000000000.0,2.67676,3.25399,13.6133,0.0,1.18598,,0.0,0.0,0.0,10.0827,10.0827,0.54317,0.54317,0.54317,,0.251928,1.0,1.01154,,9.27237,0.0,0.0,1.09206
19,/home/kenuni/Programs/rns/EOS/106/EOS10202.rns,1344640000000000.0,2.67675,3.25398,13.6139,0.0,1.18589,,0.0,0.0,0.0,10.082,10.082,0.543119,0.543119,0.543119,,0.251946,1.0,1.0115,,9.27235,0.0,0.0,1.09198
